Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
45,44,2018-01-26,21-190,PHI,@,SAS,W (+19),1,33:43,10,11,.909,0,0,,1,2,.500,1,4,5,7,2,1,3,1,21,23.0,+20
46,45,2018-01-28,21-192,PHI,@,OKC,L (-10),1,39:17,10,14,.714,0,0,,2,6,.333,1,3,4,7,1,1,1,1,22,21.4,-12
47,46,2018-01-29,21-193,PHI,@,MIL,L (-12),1,29:27,7,10,.700,0,0,,2,3,.667,0,6,6,5,1,0,2,3,16,14.5,-8
48,47,2018-01-31,21-195,PHI,@,BRK,L (-8),1,37:54,11,16,.688,0,0,,2,2,1.000,1,1,2,7,1,0,1,1,24,22.7,+2
49,48,2018-02-02,21-197,PHI,,MIA,W (+6),1,35:08,8,13,.615,0,0,,4,4,1.000,2,4,6,5,2,1,0,1,20,22.5,+11
50,49,2018-02-03,21-198,PHI,@,IND,L (-8),1,35:13,4,13,.308,0,0,,2,6,.333,5,6,11,6,1,0,0,3,10,10.2,+2
51,50,2018-02-06,21-201,PHI,,WAS,W (+13),1,35:37,6,8,.750,0,0,,3,5,.600,3,3,6,8,3,1,5,2,15,17.5,+9
52,51,2018-02-09,21-204,PHI,,NOP,W (+18),1,25:08,3,11,.273,0,0,,4,4,1.000,2,7,9,8,3,1,4,1,10,11.9,+20
53,52,2018-02-10,21-205,PHI,,LAC,W (+14),1,35:26,7,13,.538,0,0,,0,1,.000,1,4,5,10,2,1,4,2,14,14.1,+13
54,53,2018-02-12,21-207,PHI,,NYK,W (+16),1,32:44,6,8,.750,0,0,,1,2,.500,1,5,6,6,4,3,3,2,13,18.1,+10
55,54,2018-02-14,21-209,PHI,,MIA,W (+2),1,36:28,8,15,.533,0,0,,2,5,.400,4,8,12,10,4,0,4,1,18,21.3,+4
56,55,2018-02-22,21-217,PHI,@,CHI,W (+1),1,34:12,13,18,.722,0,0,,6,11,.545,3,4,7,11,1,1,2,1,32,32.9,+15
57,56,2018-02-24,21-219,PHI,,ORL,W (+11),1,28:34,7,11,.636,0,0,,3,4,.750,1,3,4,7,1,0,2,2,17,16.4,+6
58,57,2018-02-25,21-220,PHI,@,WAS,L (-15),1,36:46,6,12,.500,0,0,,4,6,.667,4,4,8,8,1,1,2,3,16,17.3,-9
59,58,2018-02-27,21-222,PHI,@,MIA,L (-1),1,33:24,4,9,.444,0,0,,3,6,.500,1,5,6,6,0,1,4,4,11,6.6,-11
60,59,2018-03-01,21-224,PHI,@,CLE,W (+11),1,31:49,8,14,.571,0,0,,2,2,1.000,1,8,9,8,2,1,2,5,18,18.8,+11
61,60,2018-03-02,21-225,PHI,,CHO,W (+11),1,34:06,6,10,.600,0,0,,3,4,.750,1,7,8,7,0,1,3,1,15,15.0,+10
62,61,2018-03-04,21-227,PHI,@,MIL,L (-8),1,35:06,6,9,.667,0,0,,0,0,,1,4,5,15,0,2,6,2,12,15.1,+7
63,62,2018-03-06,21-229,PHI,@,CHO,W (+14),1,32:55,8,9,.889,0,0,,0,0,,1,7,8,13,0,0,1,1,16,23.4,+16
64,63,2018-03-08,21-231,PHI,@,MIA,L (-9),1,35:09,5,10,.500,0,0,,0,0,,2,6,8,8,3,2,5,2,10,12.4,-7
65,64,2018-03-11,21-234,PHI,@,BRK,W (+23),1,28:39,4,9,.444,0,0,,3,4,.750,1,5,6,6,0,0,1,3,11,10.1,+6
66,65,2018-03-13,21-236,PHI,,IND,L (-3),1,30:04,4,10,.400,0,0,,2,2,1.000,1,12,13,10,0,0,2,3,10,12.7,-2
67,66,2018-03-15,21-238,PHI,@,NYK,W (+8),1,33:26,5,11,.455,0,0,,3,8,.375,3,7,10,12,1,0,5,2,13,13.1,+5
68,67,2018-03-16,21-239,PHI,,BRK,W (+4),1,37:03,10,17,.588,0,0,,1,4,.250,4,4,8,12,3,0,2,4,21,23.7,+4
69,68,2018-03-19,21-242,PHI,,CHO,W (+14),1,33:01,4,9,.444,0,0,,3,4,.750,3,9,12,15,3,0,0,0,11,24.2,+30
70,69,2018-03-21,21-244,PHI,,MEM,W (+14),1,24:44,6,9,.667,0,0,,1,1,1.000,1,6,7,9,2,0,3,1,13,16.5,+28
71,70,2018-03-22,21-245,PHI,@,ORL,W (+20),1,26:32,3,4,.750,0,0,,0,2,.000,0,11,11,10,3,1,4,3,6,12.4,+23
72,71,2018-03-24,21-247,PHI,,MIN,W (+12),1,29:46,5,9,.556,0,0,,5,8,.625,2,10,12,13,2,0,4,2,15,20.2,+27
73,72,2018-03-26,21-249,PHI,,DEN,W (+19),1,33:36,3,8,.375,0,1,.000,1,2,.500,6,7,13,11,0,1,1,4,7,14.3,+3
74,73,2018-03-28,21-251,PHI,,NYK,W (+17),1,34:25,6,7,.857,0,0,,1,4,.250,2,6,8,10,0,1,4,1,13,15.8,+9
75,74,2018-03-30,21-253,PHI,@,ATL,W (+10),1,26:30,6,11,.545,0,0,,1,3,.333,0,12,12,11,1,2,2,2,13,17.8,+21
76,75,2018-04-01,21-255,PHI,@,CHO,W (+17),1,31:52,10,17,.588,0,0,,0,0,,1,7,8,15,3,2,1,0,20,28.8,+21
77,76,2018-04-03,21-257,PHI,,BRK,W (+26),1,25:14,7,10,.700,0,0,,1,2,.500,1,11,12,6,1,0,4,2,15,14.8,+21
78,77,2018-04-04,21-258,PHI,@,DET,W (+7),1,32:06,7,10,.700,0,0,,2,4,.500,0,6,6,7,1,0,2,1,16,16.3,-2
79,78,2018-04-06,21-260,PHI,,CLE,W (+2),1,36:08,12,17,.706,0,0,,3,5,.600,3,12,15,13,4,1,3,4,27,34.0,-3
80,79,2018-04-08,21-262,PHI,,DAL,W (+12),1,30:35,7,10,.700,0,0,,2,6,.333,2,5,7,9,4,1,3,3,16,19.9,+15
81,80,2018-04-10,21-264,PHI,@,ATL,W (+8),1,28:53,5,9,.556,0,0,,4,8,.500,1,9,10,6,2,1,6,6,14,10.0,-4
82,81,2018-04-11,21-265,PHI,,MIL,W (+35),1,22:04,1,6,.167,0,0,,2,2,1.000,2,4,6,7,0,2,4,2,4,4.3,+15
